id,external_id,name,number,street,zip_code,suburb,province,state,phone,latitude,longitude,status,schedule,seller
1031,1031,MONTERREY CENTRO,No. 920,Calle General Mariano Escobedo Sur,64000,Centro,Monterrey,NUEVO LEON,"{'lada': '--', 'number': '8183431834'}",25.666884,-100.312163,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1032,1032,ACAPULCO CENTRO,No. 209,Avenida Costera Miguel Alemán,39300,Centro Acapulco,Acapulco,GUERRERO,"{'lada': '01', 'number': '7444824095'}",16.84934,-99.906758,False,Cerrada Temporalmente,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1033,1033,PUEBLA CENTRO,No. 6,Av. 2 Oriente,72000,Centro,Puebla,PUEBLA,"{'lada': '--', 'number': '2222423961'}",19.045053,-98.197614,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1035,1035,GUADALAJARA VALLARTA,No. 1600,Av. Vallarta,44150,Lafayette,Guadalajara,JALISCO,"{'lada': '--', 'number': '3336151034'}",20.675023,-103.371376,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1036,1036,MORELIA,No. 1000,Av. Enrique Ramírez Miguel,58270,Las Américas,Morelia,MICHOACAN,"{'lada': '--', 'number': '4433147227'}",19.68888,-101.158155,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1037,1037,GUADALAJARA PLAZA DEL SOL,No. 2718,Av. Adolfo López Mateos Sur,45050,Ciudad del Sol,Guadalajara,JALISCO,"{'lada': '--', 'number': '3331213675'}",20.651206,-103.403731,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1038,1038,SAN LUIS POTOSÍ,No. 1300,Avenida Santos Degollado,78269,Tangamanga,San Luis Potosí,SAN LUIS POTOSI,"{'lada': '--', 'number': '4448110721'}",22.140141,-101.00162,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1039,1039,TIJUANA,No. 1102,Av. Revolucion,22000,Zona Centro,Tijuana,BAJA CALIFORNIA NORTE,"{'lada': '--', 'number': '6646852644'}",32.528091,-117.035917,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1040,1040,CIUDAD JUAREZ,No. 3809,Av. Paseo Triunfo de la República,32300,Zona Pronaf Condominio La Plata,Ciudad Juárez,CHIHUAHUA,"{'lada': '--', 'number': '6566169024'}",31.737437,-106.450774,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1041,1041,TOLUCA,No. 200,Paseo Cristóbal Colón,50120,Ciprés,Toluca de Lerdo,ESTADO DE MÉXICO,"{'lada': '--', 'number': '7222122011'}",19.278495,-99.659633,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1042,1042,DEL VALLE,No. 1266,Av. Insurgentes Sur,03100,Del Valle,Benito Juárez,CDMX,"{'lada': '--', 'number': '5555750550'}",19.374874,-99.178306,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1043,1043,MONTERREY GALERÍAS,No. 2500,Insurgentes,64630,Vista Hermosa,Monterrey,NUEVO LEON,"{'lada': '--', 'number': '8183332720'}",25.681241,-100.355615,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1044,1044,HERMOSILLO,s/n,Blvd. Luis Encinas 245 esq. Blvd. Narvarte,83000,Hermosillo Centro,Hermosillo,SONORA,"{'lada': '--', 'number': '6622107350'}",29.087221,-110.964794,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1045,1045,MONTERREY SAN AGUSTÍN,No. 1000,Avenida Batallon de San Patricio,66250,Residencial San Agustín,Monterrey,NUEVO LEON,"{'lada': '--', 'number': '8183684610'}",25.649494,-100.335702,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1046,1046,MEXICALI,s/n,Calz. Independencia y calle de la República,21000,Centro Cívico,Mexicali,BAJA CALIFORNIA NORTE,"{'lada': '--', 'number': '6865570301'}",32.640767,-115.473315,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1048,1048,QUERÉTARO,No. 691,Prolongación Corregidora,76160,Parque Industrial,Querétaro,QUERETARO,"{'lada': '--', 'number': '4422206553'}",20.615621,-100.392271,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1051,1051,SAN MATEO,s/n,"Av. de las Torres, De los Alcanfores",53247,Lomas de Occipaco,Naucalpan de Juárez,ESTADO DE MÉXICO,"{'lada': '--', 'number': '5555602039'}",19.487201,-99.258378,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1052,1052,LOMAS VERDES,No. 545,Av. Lomas Verdes,53120,Lomas Verdes,Naucalpan de Juárez,ESTADO DE MÉXICO,"{'lada': '--', 'number': '5553435008'}",19.506187,-99.258556,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1054,1054,CUERNAVACA PLAZA,No. 1110,Av. Vicente Guerrero,62270,Lomas de la Selva,Cuernavaca,MORELOS,"{'lada': '--', 'number': '7773188402'}",18.935431,-99.229585,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1055,1055,INTERLOMAS,Mz 111 Lote 1,Centro comercial Interlomas Blvd. Interlomas,52787,Bosques de las Palmas,Huixquilucan,ESTADO DE MÉXICO,"{'lada': '--', 'number': '5552919172'}",19.402111,-99.269731,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1057,1057,ERMITA,No. 1897,Avenida Presidente Plutarco Elías Calles,03580,Sineo Miravalle,Benito Juárez,CDMX,"{'lada': '52', 'number': '5555320552'}",19.36012,-99.139656,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1059,1059,PERALVILLO,No. 2,Calzada de los Misterios,06950,Ex-hipodromo de Peralvillo,Cuauhtémoc,CDMX,"{'lada': '--', 'number': '5555830252'}",19.45444,-99.130997,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1060,1060,TIJUANA RIO,No. 10130,Av. Paseo de los Héroes,22010,Zona Urbana Rio,Tijuana,BAJA CALIFORNIA NORTE,"{'lada': '--', 'number': '6646842517'}",32.525817,-117.018204,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1062,1062,ACAPULCO OCEANIC,No. 3111,Avenida Costera Miguel Alemán,39850,Costa Azul,Acapulco,GUERRERO,"{'lada': '01', 'number': '7444842024'}",16.847324,-99.850337,False,Cerrada Temporalmente,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1063,1063,BALBUENA,No. 647,Fray Servando Teresa de Mier,15900,Jardin Balbuena,Venustiano Carranza,CDMX,"{'lada': '--', 'number': '5557640938'}",19.41994,-99.11456,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1064,1064,FUENTES BROTANTES,No. 3996,Av. Insurgentes Sur,14000,Tlalpan Centro II,Tlalpan,CDMX,"{'lada': '--', 'number': '5555131071'}",19.287807,-99.174186,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1065,1065,TICOMÁN,No. 445,Av. Miguel Othón de Mendizabal Ote,07300,La Escalera,Gustavo A. Madero,CDMX,"{'lada': '--', 'number': '5557528061'}",19.507961,-99.142262,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1068,1068,HOSPITALES,No. 4737,Calzada de Tlalpan,14050,Toriello Guerra,Tlalpan,CDMX,"{'lada': '--', 'number': '5555287627'}",19.29163,-99.16062,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1071,1071,GALERÍAS COAPA,No. 519,Calzada del Hueso,14300,Residencial Miramontes,Tlalpan,CDMX,"{'lada': '--', 'number': '5551623062'}",19.302772,-99.122992,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1072,1072,VERACRUZ,s/n,Blvd. Adolfo Ruíz Cortinez. Esq. Las Américas ,94290,Costa Verde ,Boca del Rio,VERACRUZ,"{'lada': '--', 'number': '2999219634'}",19.139649,-96.104463,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1073,1073,GALERÍAS INSURGENTES,No. 179,Parroquia,03100,Del Valle,Benito Juárez,CDMX,"{'lada': '--', 'number': '5555344201'}",19.370924,-99.178278,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1075,1075,CENTRO INSURGENTES,No. 1605,Av. Insurgentes Sur,03900,San José Insurgentes,Benito Juárez,CDMX,"{'lada': '--', 'number': '5556625077'}",19.36352,-99.182913,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1076,1076,SANTA FÉ,No. 3800,Av. Vasco de Quiroga,01219,Lomas de Santa Fe,Cuajimalpa de Morelos,CDMX,"{'lada': '--', 'number': '5552590127'}",19.361745,-99.273372,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1077,1077,GÉNOVA,No. 130,Londres,06600,Juárez,Cuauhtémoc,CDMX,"{'lada': '52', 'number': '5555254039'}",19.42517,-99.164391,False,Cerrada Permanentemente,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1078,1078,PLAZA CENTRAL,No. 1635,Canal Río Churubusco,09040,Área Federal Central de Abastos,Iztapalapa,CDMX,"{'lada': '--', 'number': '5556008773'}",19.375806,-99.095703,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1079,1079,XOCHIMILCO,No. 318,Guadalupe I. Ramírez,16050,Tepepan San Marcos Xochimilco.,Xochimilco,CDMX,"{'lada': '--', 'number': '5556411996'}",19.265384,-99.114446,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1080,1080,PUEBLA HÉROES,No. 8,Boulevard Héroes de 5 de Mayo,72530,Huexotitla,Puebla,PUEBLA,"{'lada': '--', 'number': '2222404581'}",19.026649,-98.208047,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1081,1081,AÉROPUERTO,No. 123,Boulevard Puerto Aéreo,15530,Moctezuma,Venustiano Carranza,CDMX,"{'lada': '--', 'number': '5555712411'}",19.424231,-99.094374,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1082,1082,ECHEGARAY,No. 226,Av. Gustavo Baz Prada,53300,Colón Echegaray,Naucalpan de Juárez,ESTADO DE MÉXICO,"{'lada': '--', 'number': '5553634006'}",19.494671,-99.226487,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1083,1083,ACAPULCO CALINDA,No. 1260,Avenida Costera Miguel Alemán,39690,Club Deportivo,Acapulco,GUERRERO,"{'lada': '01', 'number': '7444844465'}",16.855602,-99.860876,False,Cerrada Temporalmente,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1085,1085,LORETO,No. 46,Ignacio Manuel Altamirano,01090,Tizapan,Álvaro Obregón,CDMX,"{'lada': '--', 'number': '5556163267'}",19.338667,-99.193043,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1088,1088,PERINORTE,No. 2,Hacienda de Sierra Vieja,54769,Hacienda del Parque,Cuautitlán Izcalli,ESTADO DE MÉXICO,"{'lada': '--', 'number': '5558862158'}",19.601892,-99.190054,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1091,1091,PACHUCA,No. 100,Blvd. Everardo Marquez,42064,Ex Hacienda Coscotitlán,Pachuca,HIDALGO,"{'lada': '--', 'number': '7717180489'}",20.114306,-98.747119,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1093,1093,PABELLÓN BOSQUES,No. 1813,Prol. Bosques Reforma,05100,Lomas de Vista Hermosa,Cuajimalpa de Morelos,CDMX,"{'lada': '--', 'number': '5552593524'}",19.382203,-99.267703,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1094,1094,TEZONTLE,No. 1540,Avenida Río Churubusco,08900,INFONAVIT Iztacalco,Iztacalco,CDMX,"{'lada': '--', 'number': '5556548805'}",19.385623,-99.101294,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1095,1095,PLAZA GALERÍAS,No. 193,Av. Melchor Ocampo,11300,Verónica Anzúres,Miguel Hidalgo,CDMX,"{'lada': '--', 'number': '5552601623'}",19.437197,-99.171688,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1098,1098,VILLAHERMOSA OLMECA,No.1310,Av. Ruiz Cortinez,86035,Los Ríos,Villahermosa,TABASCO,"{'lada': '--', 'number': '9933165710'}",17.995573,-92.942943,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1101,1101,CUERNAVACA CASA DE PIEDRA,No. 629,Av. Plan de Ayala,62350,Lomas del Mirador,Cuernavaca,MORELOS,"{'lada': '--', 'number': '7773164180'}",18.923951,-99.215802,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1102,1102,CAMARONES,No. 108,Calz. Camarones,02870,San Salvador Xochimanca,Azcapotzalco,CDMX,"{'lada': '--', 'number': '5553961355'}",19.460372,-99.170658,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
1103,1103,CENTRO HISTÓRICO,No. 2,Calle de Tacuba,06010,Centro,Cuauhtémoc,CDMX,"{'lada': '--', 'number': '5555211558'}",19.436739,-99.140139,True,De Lunes a Domingo de 08:00 a 22:00,"{'id': 3496, 'name': 'Sanborns', 'logo': 'https://resources.claroshop.com/medios-plazavip/mkt/5c3cd792844b8_sanbornssjpeg.jpg', 'status': True}"
